catalog_number,object_id,occurrenceID,inst,collectionCode,family,sci_name,sciname,tidinterpreted,event_date,verbatimEventDate,year,startDayOfYear,country,state,county,municipality,locality,latitude,longitue,geodeticDatum,coordinateUncertaintyInMeters,georeferenceProtocol,georeferenceRemarks,georeferenceSources,url,order,Budding Ground Truth,Budding Prediction,Budding Prediction Confidence,Fruiting Ground Truth,Fruiting Prediction,Fruiting Prediction Confidence,Reproductive Ground Truth,Reproductive Prediction,Reproductive Prediction Confidence,Flowering Ground Truth,Flowering Prediction,Flowering Prediction Confidence
00310317,2021729,f7930963-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Alismataceae,Sagittaria latifolia Willd.,Sagittaria latifolia,831497.0,5/7/1991,,1991.0,186.0,United States of America,Massachusetts,Worcester,Lancaster,Ponakin Brook near gas pipeline ca. 0.2 mi E of MA Rte 70 in Area 7C,42.4752749535519,-71.6726387891171,,200.0,,,,https://bisque.cyverse.org/image_service/00-g5EuDB2SVL2ZQiRDDeVKff,Alismatales,True,False,0.667796790599823,True,True,0.7471389174461365,True,True,0.9885817170143129,True,True,0.996204912662506
00311337,2066797,f95df81e-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Ericaceae,Kalmia latifolia L.,Kalmia latifolia,825338.0,20/6/1947,,1947.0,171.0,United States of America,Massachusetts,Worcester,Petersham,"Sphagnum bog in hollow West of Tom Swamp, Fay Tract.",42.45969,-72.22107,WGS84,15025.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-raqiLneqbrmWRZFGqyQLPP,Ericales,True,False,0.5461103320121765,False,False,0.9098384976387024,True,True,0.9999971389770508,False,True,0.9998292922973632
00314106,2024247,255737ac-f659-44ce-9064-17507ff7f3d4,University of Massachusetts,MASS,Ericaceae,Vaccinium macrocarpon Aiton,Vaccinium macrocarpon,834130.0,,,,,unknown,,,,Not Given,,,,,,,,https://bisque.cyverse.org/image_service/00-dG6Sz9XxkLXcSbXciXGcRF,Ericales,,False,0.822726309299469,,False,0.9908751249313354,,True,0.9997966885566713,,True,0.9998544454574584
00315755,1994102,f1c0af65-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Betulaceae,Betula populifolia Marsh.,Betula populifolia,817893.0,27/6/1994,,1994.0,178.0,United States of America,Massachusetts,Hampden,Chicopee,"Westover Air Force Base, SW corner of base, S of helicopter pad",42.1760253665096,-72.5567154659478,,200.0,,,,https://bisque.cyverse.org/image_service/00-o9ArkkNDGSyHVXvKa7miaT,Fagales,False,False,0.996338963508606,False,False,0.9866179823875428,False,True,0.8566051125526428,False,False,0.9966033697128296
00315864,2004780,fc32c7dd-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Betulaceae,Betula papyrifera x populifolia,Betula papyrifera x populifolia,,19/8/1973,,1973.0,231.0,United States of America,New Hampshire,Cheshire,,Pond just north of Duplin on Rt. 101 at jct. of 137 and 101.,,,,,,,,https://bisque.cyverse.org/image_service/00-xbJVxWLWMQQH5eYMAyHnse,Fagales,False,False,0.9971740245819092,False,False,0.9711233377456664,False,False,0.9168604016304016,False,False,0.997178316116333
00319296,2025047,fe2ffc31-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Ericaceae,Kalmia latifolia L.,Kalmia latifolia,825338.0,19/6/2002,,2002.0,170.0,United States of America,Massachusetts,Worcester,Paxton,Brooks Road.,42.31093,-71.93302,WGS84,5473.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-rZVGG5Cd7BvY3BNbo3ACvP,Ericales,True,True,0.8129905462265015,False,False,0.9475557804107666,True,True,0.999974250793457,True,True,0.996971607208252
00365167,2028988,f4bd7036-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Sapindaceae,Acer nigrum Michx. f.,Acer nigrum,815692.0,25/5/2004,,2004.0,146.0,United States of America,Massachusetts,Franklin,Greenfield,"East side of Green River, adjacent to Riverside Drive, due east of Lower Meadow Cemeery, due west of Hampden Co. Jail.",42.61403,-72.59856,WGS84,6623.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-dGZ5tq8NZKVunxoMDdba8g,Sapindales,False,False,0.9976859092712402,False,False,0.8573397994041443,False,False,0.6982699036598206,False,False,0.8635676503181458
00365169,2048356,f5681d90-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Sapindaceae,Acer nigrum Michx. f.,Acer nigrum,815692.0,19/6/1979,,1979.0,170.0,United States of America,Massachusetts,Franklin,Greenfield,Greenfield water works at swimming hole,42.61403,-72.59856,WGS84,6623.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-vpXKbNUVhRmXN7FNyKqzMg,Sapindales,False,False,0.9992054104804992,False,False,0.8765630125999451,False,False,0.9374855160713196,False,False,0.9780217409133912
00365170,2084197,74980704-7d94-4a84-8c51-d10af99ac334,University of Massachusetts,MASS,Sapindaceae,Acer nigrum Michx. f.,Acer nigrum,815692.0,25/5/2004,,2004.0,146.0,United States of America,Massachusetts,Franklin,Greenfield,"North/East side of Green River, just upstream of mouth of Mill Brook, in park.",42.61403,-72.59856,WGS84,6623.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-UwhRGoGF43KwKUbbKMWBWT,Sapindales,False,False,0.9950124621391296,False,False,0.9530872702598572,False,False,0.8418211340904236,False,False,0.9711650609970092
00379132,2068591,f69bd5ab-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Caprifoliaceae,Diervilla lonicera Mill.,Diervilla lonicera,821615.0,30/6/1966,,1966.0,181.0,United States of America,Massachusetts,Franklin,Deerfield,"Sand Gully Rd., E. edge of field, So. side. Near Deerfield town dump.",42.52202,-72.60972,WGS84,7304.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-d2tPDBG6j8wevLaASPrzU8,Dipsacales,True,False,0.9549378752708436,True,False,0.7077126502990723,True,True,0.9999529123306274,True,True,0.9988284707069396
