Family,Order
Ericaceae,Ericales
Rosaceae,Rosales
Lamiaceae,Lamiales
Aquifoliaceae,Aquifoliales
Cornaceae,Cornales
Hypericaceae,Malpighiales
Caprifoliaceae,Dipsacales
Aceraceae,Sapindales
Sapindaceae,Sapindales
Nymphaeaceae,Nymphaeales
Campanulaceae,Asterales
Betulaceae,Fagales
Brassicaceae,Brassicales
Ranunculaceae,Ranunculales
Melanthiaceae,Liliales
Alismataceae,Alismatales
Saxifragaceae,Saxifragales
Liliaceae,Liliales
Lobeliaceae,Asterales
Salicaceae,Malpighiales
Orobanchaceae,Lamiales
Fagaceae,Fagales
Clethraceae,Ericales
Hamamelidaceae,Saxifragales
Aristolochiaceae,Piperales
Oleaceae,Lamiales
Papaveraceae,Ranunculales
Lentibulariaceae,Lamiales
Vitaceae,Vitales
