,family,population,sample
0,Juncaceae,1,5
1,Betulaceae,1574,5
2,Melanthiaceae,1025,5
3,Lamiaceae,1068,5
4,Convolvulaceae,1,5
5,Brassicaceae,284,5
6,Aristolochiaceae,132,5
7,Viburnaceae,78,5
8,Liliaceae,419,5
9,Orobanchaceae,202,5
10,Vitaceae,203,5
11,Saxifragaceae,128,5
12,Hamamelidaceae,348,5
13,Fagaceae,561,5
14,Clethraceae,191,5
15,Oleaceae,703,5
16,Nymphaeaceae,582,5
17,Caprifoliaceae,882,5
18,Hypericaceae,1022,5
19,Ceratophyllaceae,2,5
20,Boraginaceae,2,5
21,Poaceae,508,5
22,Cornaceae,1419,5
23,Caryophyllaceae,51,5
24,Myricaceae,117,5
25,Sapindaceae,1776,5
26,Papaveraceae,128,5
27,Ulmaceae,228,5
28,Tiliaceae,15,5
29,Lentibulariaceae,348,5
30,Lauraceae,313,5
31,Salicaceae,228,5
32,Orchidaceae,2,5
33,Aquifoliaceae,896,5
34,Polypodiaceae,2,5
35,Rosaceae,4822,5
36,Malvaceae,191,5
37,Campanulaceae,265,5
38,Alismataceae,928,5
39,Cyperaceae,12,5
40,Ericaceae,7313,5
41,Ranunculaceae,123,5
