,catalog_number,object_id,occurrenceID,inst,collectionCode,family,sci_name,sciname,tidinterpreted,event_date,verbatimEventDate,year,startDayOfYear,country,state,county,municipality,locality,latitude,longitue,geodeticDatum,coordinateUncertaintyInMeters,georeferenceProtocol,georeferenceRemarks,georeferenceSources,url,order,Budding Prediction,Budding Prediction Confidence,Flowering Prediction,Flowering Prediction Confidence,Fruiting Prediction,Fruiting Prediction Confidence,Reproductive Prediction,Reproductive Prediction Confidence,Reproductive Ground Truth,Fruiting Ground Truth,Flowering Ground Truth,Budding Ground Truth
0,barcode-00634426,978521,afc97138-2a30-11e5-b5e0-001ec9fd629b,NEBC,,Betulaceae,Betula lenta Linnaeus,Betula lenta,817884.0,18/5/1912,"May 18, 1912",1912.0,139.0,United States of America,Vermont,Windham County,Townshend,Townshend,43.07121,-72.66915,WGS84,8132.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Boundary_BNDHASH_region_towns vector digital data, 2012-02-16 AND Boundary_BNDHASH_region_villages vector digital data, 2012-12-04; Vermont Center for Geographic Information, Waterbury, Vt (http://http://vcgi.vermont.gov/).",https://bisque.cyverse.org/image_service/00-pmtuEQieQBaudSatjg8iLa,Fagales,False,0.9392393827438354,True,0.9840776920318604,False,0.9329148530960084,True,0.9990147352218628,,,,
1,barcode-00627536,987531,b25eaa74-2a50-11e5-b5e0-001ec9fd629b,NEBC,,Betulaceae,Betula populifolia Marshall,Betula populifolia,817893.0,26/6/1913,"June 26, 1913",1913.0,177.0,United States of America,Massachusetts,Hampshire County,Middlefield,Middlefield,42.3514,-73.01575,WGS84,5875.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-bs48BFs7STZCZKcGNwFEs8,Fagales,False,0.9964046478271484,False,0.999190866947174,True,0.9991734623908995,True,0.6163988709449768,,,,
2,2477815,1922273,f8353da9-cb10-4269-a037-2b7cce3fa0cd,NY,NY,Betulaceae,Betula lenta L. x B. papyrifera Marshall,Betula,811585.0,31/5/1904,31 May 1904,1904.0,152.0,United States of America,New Hampshire,Cheshire,,North Walpole,,,,,,,,http://sweetgum.nybg.org/images3/1699/264/02477815.jpg,Fagales,False,0.9883965849876404,False,0.993017554283142,True,0.8645521998405457,True,0.6523524522781372,,,,
3,UVMVT059014,1000287,urn:uuid:8bd9110f-a228-4ef3-88a2-aea8e90a3d44,,,Betulaceae,,Betula papyrifera,817890.0,22/8/1970,1970-8-22,1970.0,234.0,United States of America,New Hampshire,,Sargents Purchase,"Tuckerman's Ravine, Mount Washington",44.21943,-71.30011,WGS84,12002.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"New Hampshire Political Boundaries at 1:24,000 Scale vector digital data, 1992-01-01 (ending date 2013-04-11); Complex Systems Research Center, University of New Hampshire, Durham, New Hampshire (http://www.granit.sr.unh.edu).",https://bisque.cyverse.org/image_service/00-nxpcd4WjE9mR2miK6CEhTD,Fagales,False,0.9691045880317688,False,0.9870727062225342,True,0.9755442142486572,True,0.9965800642967224,,,,
4,2476224,1862147,329c6039-731f-43c5-9239-5417751c9446,NY,NY,Betulaceae,Betula lenta L.,Betula lenta,817884.0,,10-04-19,,,United States of America,Pennsylvania,,,Buck Hill Falls.,,,,,,,,http://sweetgum.nybg.org/images3/1697/733/02476224.jpg,Fagales,False,0.9515316486358644,False,0.9775951504707336,False,0.6358491778373718,True,0.9470387697219848,,,,
5,CONN00126039,359879,urn:catalog:UConn:CONN:CONN00126039,,CONN,Melanthiaceae,Trillium erectum L.,Trillium erectum,833920.0,7/8/1993,7 Aug 1993,1993.0,219.0,United States of America,Connecticut,Fairfield,Fairfield,Fairfield,41.17583,-73.27194,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00126039.jpg,__Other,False,0.9907293915748596,False,0.9457892775535583,False,0.6712823510169983,True,0.6088973879814148,,,,
6,CONN00126025,359869,urn:catalog:UConn:CONN:CONN00126025,,CONN,Melanthiaceae,Trillium cernuum L.,Trillium cernuum,833914.0,,-,,,United States of America,Massachusetts,Hampden,Wilbraham,Wilbraham,42.12361,-72.43138,,5000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00126025.jpg,__Other,False,0.9858454465866088,True,0.5686406493186951,False,0.8952894806861877,True,0.8491660952568054,,,,
7,CONN00126256,360406,urn:catalog:UConn:CONN:CONN00126256,,CONN,Melanthiaceae,Trillium undulatum Willd.,Trillium undulatum,833946.0,23/7/1987,23-Jul-87,1987.0,204.0,United States of America,Maine,Oxford,Batchelders Grant,"Evans Notch, Batchelders Grant",44.30527,-70.98972,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00126256.jpg,__Other,False,0.9973669648170472,False,0.999736487865448,True,0.91827654838562,True,0.9997114539146424,,,,
8,barcode-00810565,1289035,5821b2c9-2467-422d-8c12-3056d09612b0,NEBC,,Melanthiaceae,Trillium undulatum Willdenow,Trillium undulatum,833946.0,19/5/1935,May 19 1935,1935.0,139.0,United States of America,Vermont,Windsor County,Cavendish,Cavendish,43.40523,-72.60399,WGS84,7638.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Boundary_BNDHASH_region_towns vector digital data, 2012-02-16 AND Boundary_BNDHASH_region_villages vector digital data, 2012-12-04; Vermont Center for Geographic Information, Waterbury, Vt (http://http://vcgi.vermont.gov/).",https://bisque.cyverse.org/image_service/00-ZpNQiRLmcPDSKAvXsZ9eh9,Liliales,False,0.8324742317199707,True,0.998544454574585,False,0.9402270317077636,True,0.996806502342224,,,,
9,barcode-00810602,1289072,9a3fc08c-aa80-4af8-b67b-c0d5aa9390da,NEBC,,Melanthiaceae,Trillium undulatum Willdenow,Trillium undulatum,833946.0,3/6/1905,"June 3, 1905",1905.0,154.0,United States of America,Massachusetts,Norfolk County,Norwood,Norwood,42.18614,-71.19485,WGS84,4027.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-SjbRMLJtH8Scbz87Ztxt96,Liliales,False,0.9967308044433594,True,0.9925530552864076,False,0.9255072474479676,True,0.9901649355888368,,,,
